Product Name,Price,Image Link,Desciption,Discount
Lenovo Ideacentre Celeron Dual Core (4 GB DDR4/1 TB/Fre...,"₹21,490",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,"Black, 394.9 mm x 460.6 mm x 223.5 mm, 3.9 kg","₹26,890"
Lenovo ideacentre Core i3 (10th Gen) (8 GB DDR4/512 GB ...,"₹46,990",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,"Black, 447.36 mm x 541.04 mm x 185 mm, 5.87 Kg","₹58,690"
Lenovo Ideacentre Pentium Quad Core (4 GB DDR4/1 TB/Win...,"₹27,490",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,"Black, 394.9 mm x 460.6 mm x 223.5 mm, 3.9 kg","₹38,690"
ZOONIS CORE 2 DUE Core 2 Duo (4 GB DDR3/500 GB/120 GB S...,"₹12,999",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹19,999"
ASUS AIO M241DAK Athlon Dual Core (4 GB DDR4/1 TB/Windo...,"₹33,950",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹36,990"
DZAB All-in-one Core i3 (4 GB DDR3/500 GB/Windows 10 Ho...,"₹13,499",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹27,998"
Assembled 1ST RC-IT-SOLUTIONS Core 2 Duo (4 GB DDR2/320...,"₹10,499",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹15,999"
HP All in One PC Core i5 (9th Gen) (8 GB DDR4/1 TB/Free...,"₹54,500",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,"Jet Black, 390.7 mm x 490.3 mm x 204.1 mm, 5.39 kg","₹56,920"
Gandiva Professional Desktop Core i5 (8 GB DDR3/500 GB/...,"₹20,331",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹59,135"
HP Ryzen 5 (8 GB DDR4/500 GB/Windows 10 Home/23.8 Inch ...,"₹62,658",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,"Natural Silver, 41.03 Cm x 54.8 Cm x 20.43 Cm, 7.71 Kg","₹59,000"
